Recurrence length,LSTM Units,Embedding Dimension,FF model shape,Initial Learning Rate,Regularization,Metric,Training loss,Val loss,time_start,time_duration,Epochs,Columns,LSTM type,user,coordinates
60,64,5,"[2, 1]",0.001,Batch Normalization,mse,8.663101196289062,8.68283748626709,2021-07-05 16:16:51.908608,"1 day, 18:02:21.773882",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 1, 0]"
60,64,0,"[2, 1]",0.001,Batch Normalization,mse,8.795801162719727,8.708972930908203,2021-07-01 12:10:24.407171,"1 day, 17:01:10.136152",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 0, 0]"
60,64,0,"[2, 2, 1]",0.001,Batch Normalization,mse,8.709724426269531,8.748942375183105,2021-07-03 03:23:35.151664,"1 day, 17:17:57.258698",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 0, 0]"
60,64,0,"[6, 1]",0.001,Batch Normalization,mse,8.70212173461914,8.808432579040527,2021-06-30 10:35:40.888591,"1 day, 19:13:00.747682",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 0, 2]"
60,32,0,"[2, 1]",0.001,Batch Normalization,mse,8.930580139160156,8.808463096618652,2021-06-27 21:22:13.110337,"1 day, 8:32:52.088223",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 0, 0, 0]"
60,32,20,"[2, 1]",0.001,Batch Normalization,mse,8.915695190429688,8.834773063659668,2021-07-04 11:46:54.218952,"1 day, 3:49:22.531958",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 0, 3, 0]"
60,64,0,"[2, 2, 1]",0.001,Batch Normalization,mse,8.58057975769043,8.853189468383789,2021-07-03 05:48:21.764953,"1 day, 12:42:40.459784",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 1, 0, 0]"
60,64,0,"[6, 6, 1]",0.001,Batch Normalization,mse,8.515095710754395,8.904251098632812,2021-07-06 08:41:34.039159,"1 day, 12:12:45.485878",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 1, 0, 2]"
60,64,0,"[6, 1]",0.001,Batch Normalization,mse,8.606825828552246,8.94381046295166,2021-06-27 21:33:33.980457,"2 days, 4:53:14.072545",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 0, 2]"
60,32,5,"[2, 1]",0.001,Batch Normalization,mse,9.014629364013672,8.95254898071289,2021-07-03 08:52:11.693276,"1 day, 2:55:04.549309",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 0, 1, 0]"
